"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "Less", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\code-toggle\code-toggle.component.less", "Less", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\code-toggle\code-toggle.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 2, 9, 30
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\filter\filter.component.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\filter\filter.component.less", "Less", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\filter\filter.component.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 2, 10, 69
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\select\select.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\select\select.component.less", "Less", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\select\select.component.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\test\test.component.html", "HTML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\test\test.component.less", "Less", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\test\test.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\test\test.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
